Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
110,0.305556,148.304596,-14.596364,173.050247,-264.58725,1449.225342,110.228851,-1.024706,-6.016959,-2.562892,-252.234879,1348.995483,100.042267
111,0.308333,148.308716,-14.572217,173.037918,-264.595673,1449.231689,110.225098,-1.057846,-6.014948,-2.593093,-252.236069,1349.014038,100.060692
112,0.311111,148.308716,-14.572217,173.037918,-264.595673,1449.231689,110.225098,-1.057846,-6.014948,-2.593093,-252.236069,1349.014038,100.060692
113,0.313889,148.329224,-14.521193,173.052765,-264.604553,1449.245239,110.227425,-0.989352,-6.034184,-2.485182,-252.223877,1349.017456,100.042671
114,0.316667,148.309219,-14.552253,173.049332,-264.599518,1449.250854,110.22644,-1.036637,-6.030838,-2.571782,-252.234695,1349.033691,100.035011
115,0.319444,148.309219,-14.552253,173.049332,-264.599518,1449.250854,110.22644,-1.036637,-6.030838,-2.571782,-252.234695,1349.033691,100.035011
116,0.322222,148.309219,-14.552253,173.049332,-264.599518,1449.250854,110.22644,-1.036637,-6.030838,-2.571782,-252.234695,1349.033691,100.035011
117,0.325,148.336365,-14.553021,173.041992,-264.605377,1449.269897,110.233192,-0.979595,-6.051039,-2.44256,-252.234039,1349.045044,100.034622
118,0.327778,148.315948,-14.533381,173.079346,-264.597565,1449.267456,110.222343,-1.045172,-6.068561,-2.46774,-252.244507,1349.057983,100.038925
119,0.330556,148.324738,-14.518242,173.086746,-264.602081,1449.275024,110.22731,-1.053632,-6.078646,-2.543311,-252.238159,1349.062134,100.042572
120,0.333333,148.343628,-14.563536,173.105255,-264.592773,1449.277222,110.219421,-0.978541,-6.061153,-2.547045,-252.235825,1349.063477,100.044289
121,0.336111,148.317825,-14.503166,173.127838,-264.604462,1449.281128,110.234039,-1.002715,-6.084334,-2.46062,-252.236511,1349.067261,100.049164
122,0.338889,148.317825,-14.503166,173.127838,-264.604462,1449.281128,110.234039,-1.002715,-6.084334,-2.46062,-252.236511,1349.067261,100.049164
123,0.341667,148.317825,-14.503166,173.127838,-264.604462,1449.281128,110.234039,-1.002715,-6.084334,-2.46062,-252.236511,1349.067261,100.049164
124,0.344444,148.415512,-14.61447,173.178116,-264.59201,1449.277466,110.225586,-0.933474,-6.081253,-2.47753,-252.239258,1349.075317,100.048622
125,0.347222,148.426376,-14.610764,173.216568,-264.592987,1449.275513,110.229347,-0.901338,-6.037428,-2.533138,-252.23819,1349.062866,100.037094
126,0.35,148.426376,-14.610764,173.216568,-264.592987,1449.275513,110.229347,-0.901338,-6.037428,-2.533138,-252.23819,1349.062866,100.037094
127,0.352778,148.426376,-14.610764,173.216568,-264.592987,1449.275513,110.229347,-0.901338,-6.037428,-2.533138,-252.23819,1349.062866,100.037094
128,0.355556,148.426376,-14.610764,173.216568,-264.592987,1449.275513,110.229347,-0.901338,-6.037428,-2.533138,-252.23819,1349.062866,100.037094
129,0.358333,148.422974,-14.67767,173.221283,-264.583099,1449.267212,110.231903,-0.850649,-6.063737,-2.509212,-252.225876,1349.051147,100.098579
130,0.361111,148.453949,-14.685841,173.244141,-264.586121,1449.266113,110.236061,-0.872251,-6.037466,-2.55236,-252.228912,1349.039673,100.089828
131,0.363889,148.452087,-14.699682,173.226608,-264.584229,1449.254395,110.226326,-0.88462,-6.044018,-2.548098,-252.227341,1349.04126,100.095688
132,0.366667,148.468292,-14.685021,173.24556,-264.586151,1449.250122,110.243675,-0.84817,-6.033785,-2.505343,-252.232376,1349.037598,100.09272
133,0.369444,148.468292,-14.685021,173.24556,-264.586151,1449.250122,110.243675,-0.84817,-6.033785,-2.505343,-252.232376,1349.037598,100.09272
134,0.372222,148.468292,-14.685021,173.24556,-264.586151,1449.250122,110.243675,-0.84817,-6.033785,-2.505343,-252.232376,1349.037598,100.09272
135,0.375,-87.515747,-77.545998,117.959938,-262.942444,1449.705322,111.080025,-0.833959,-6.019502,-2.503242,-252.219223,1349.029785,100.107399
136,0.377778,148.457855,-14.679272,173.204727,-264.579773,1449.259399,110.232613,-0.897097,-6.014035,-2.58887,-252.221497,1349.032837,100.104362
137,0.380556,148.457855,-14.679272,173.204727,-264.579773,1449.259399,110.232613,-0.897097,-6.014035,-2.58887,-252.221497,1349.032837,100.104362
138,0.383333,148.457855,-14.679272,173.204727,-264.579773,1449.259399,110.232613,-0.897097,-6.014035,-2.58887,-252.221497,1349.032837,100.104362
139,0.386111,148.457855,-14.679272,173.204727,-264.579773,1449.259399,110.232613,-0.897097,-6.014035,-2.58887,-252.221497,1349.032837,100.104362
140,0.388889,148.410339,-14.618343,173.104019,-264.564911,1449.285889,110.232124,-0.488274,-5.931231,-2.421544,-252.234161,1349.098022,100.130524
141,0.391667,148.410339,-14.618343,173.104019,-264.564911,1449.285889,110.232124,-0.488274,-5.931231,-2.421544,-252.234161,1349.098022,100.130524
142,0.394444,148.410339,-14.618343,173.104019,-264.564911,1449.285889,110.232124,-0.488274,-5.931231,-2.421544,-252.234161,1349.098022,100.130524
143,0.397222,148.410339,-14.618343,173.104019,-264.564911,1449.285889,110.232124,-0.488274,-5.931231,-2.421544,-252.234161,1349.098022,100.130524
144,0.4,148.410339,-14.618343,173.104019,-264.564911,1449.285889,110.232124,-0.488274,-5.931231,-2.421544,-252.234161,1349.098022,100.130524
145,0.402778,148.410339,-14.618343,173.104019,-264.564911,1449.285889,110.232124,-0.488274,-5.931231,-2.421544,-252.234161,1349.098022,100.130524
146,0.405556,148.824814,-14.60617,173.100128,-264.570526,1449.34436,110.255203,-0.471977,-5.98696,-2.34742,-252.214493,1349.143433,100.147728
147,0.408333,148.906723,-14.631281,173.124954,-264.598938,1449.338135,110.204323,-0.479728,-6.006773,-2.376483,-252.20903,1349.144165,100.140778
148,0.411111,148.896744,-14.65664,173.059738,-264.588593,1449.342896,110.19352,-0.527905,-6.009097,-2.363834,-252.212524,1349.158203,100.136169
149,0.413889,148.896744,-14.65664,173.059738,-264.588593,1449.342896,110.19352,-0.527905,-6.009097,-2.363834,-252.212524,1349.158203,100.136169
150,0.416667,148.896744,-14.65664,173.059738,-264.588593,1449.342896,110.19352,-0.527905,-6.009097,-2.363834,-252.212524,1349.158203,100.136169
151,0.419444,148.836716,-14.591839,173.107132,-264.571136,1449.353516,110.255363,-0.526088,-5.990478,-2.348508,-252.203369,1349.155396,100.132843
152,0.422222,148.932632,-14.669728,173.138687,-264.591858,1449.331787,110.194489,-0.538312,-5.995395,-2.359784,-252.205017,1349.14502,100.132813
153,0.425,148.893311,-14.634151,173.116577,-264.588623,1449.339478,110.199562,-0.564843,-6.005293,-2.368174,-252.2052,1349.141968,100.159332
154,0.427778,148.441711,-14.554657,173.052017,-264.547852,1449.3125,110.21273,-0.554037,-6.001639,-2.370117,-252.207016,1349.140259,100.155304
155,0.430556,148.520996,-14.620867,173.112701,-264.587372,1449.300049,110.170975,-0.571483,-5.950749,-2.402422,-252.203232,1349.129395,100.144844
156,0.433333,148.504044,-14.642797,173.109619,-264.582672,1449.294922,110.168686,-0.573063,-5.986223,-2.410866,-252.202576,1349.12439,100.144867
157,0.436111,148.478897,-14.631691,173.126602,-264.589691,1449.295166,110.15519,-0.551783,-5.947043,-2.403423,-252.209183,1349.116333,100.127434
158,0.438889,148.478897,-14.631691,173.126602,-264.589691,1449.295166,110.15519,-0.551783,-5.947043,-2.403423,-252.209183,1349.116333,100.127434
159,0.441667,148.478897,-14.631691,173.126602,-264.589691,1449.295166,110.15519,-0.551783,-5.947043,-2.403423,-252.209183,1349.116333,100.127434
160,0.444444,148.478897,-14.631691,173.126602,-264.589691,1449.295166,110.15519,-0.551783,-5.947043,-2.403423,-252.209183,1349.116333,100.127434
161,0.447222,148.478897,-14.631691,173.126602,-264.589691,1449.295166,110.15519,-0.551783,-5.947043,-2.403423,-252.209183,1349.116333,100.127434
162,0.45,148.478897,-14.631691,173.126602,-264.589691,1449.295166,110.15519,-0.551783,-5.947043,-2.403423,-252.209183,1349.116333,100.127434
163,0.452778,-4.148387,23.017042,4.308977,-263.71225,1450.771729,109.228447,-0.746912,-5.805646,-2.563704,-252.178314,1349.130615,100.125206
164,0.455556,148.680771,-14.587385,173.140961,-264.595337,1449.252441,110.138382,-0.760381,-5.787981,-2.517677,-252.186295,1349.140381,100.127869
165,0.458333,-3.977609,23.12051,4.640085,-263.736816,1450.831177,109.187561,-0.756198,-5.784755,-2.579826,-252.181686,1349.147583,100.134499
